"code","iso","country","TBN.ind.1995","TBN.ind.1996","TBN.ind.1997","TBN.ind.1998","TBN.ind.1999","TBN.ind.2000","TBN.ind.2001","TBN.ind.2002","TBN.ind.2003","TBN.ind.2004","TBN.ind.2005","TBN.ind.2006","TBN.ind.2007","TBN.ind.2008","TBN.ind.2009","TBN.ind.2010","TBN.ind.2011","TBN.ind.2012","TBN.ind.2013","TBN.ind.2014","TBN.ind.2015","TBN.ind.2016","TBN.ind.2017","TBN.ind.2018","TBN.ind.2019","TBN.ind.2020","TBN.ind.2021","TBN.ind.2022","TBN.ind.2023","TBN.ind.2024"
682,"SAU","Saudi Arabia",7.1,7.1,7.1,7.1,7.1,7.1,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,29.7,29.7,29.7,29.7,29.7,29.7,29.7
686,"SEN","Senegal",83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,84.6,84.9,85.4,85.4,85.4,86.8,86.8,86.8,86.8,86.8
688,"SRB","Serbia",19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,21.3,21.3,21.3,21.5,21.9,23.3,24.3,24.3,27.9,28.6,29,29,29.7,29.7,29.7,29.7
690,"SYC","Seychelles",39.2,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,40.1,40.1,40.1,40.1,40.1,40.1,73.4,73.4,73.4,73.4,73.4,73.4,73.4,73.4,73.4,73.4,73.4,73.4,73.4,73.4,73.4
694,"SLE","Sierra Leone",28.7,28.7,28.7,28.7,30.1,30.1,30.1,30.1,30.1,30.1,30.1,30.1,30.1,30.1,30.1,33.3,33.3,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8
702,"SGP","Singapore",15.9,15.9,15.9,15.9,15.9,15.9,15.9,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5
534,"SXM","Sint Maarten",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3
703,"SVK","Slovakia",30.5,30.6,50.2,51.1,51.5,51.5,60.3,64,66.9,87.9,88.8,88.8,88.8,88.8,88.9,88.9,89.9,90.1,90.1,90.1,90.1,90.1,90.1,90.1,90.1,90.1,90.1,90.1,90.1,90.1
705,"SVN","Slovenia",26.7,27.1,27.1,28.2,28.2,28.2,28.2,31.9,39.4,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
90,"SLB","Solomon Islands",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.1,1.1,1.6,1.7,1.7,1.7
706,"SOM","Somalia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
710,"ZAF","South Africa",20.9,21.2,21.4,21.6,21.6,21.9,22.5,22.6,22.6,22.6,22.6,22.6,22.7,22.8,22.8,22.9,22.9,23,23.2,23.9,24.2,26.8,27,27.8,28.1,28.7,28.8,28.9,29,29
410,"KOR","South Korea",19.2,19.3,19.6,20.2,21.1,27.3,27.3,31,31.2,34.8,39.7,41.1,41.6,46.4,47,47.2,47.5,47.6,48.1,48.1,48.3,48.3,48.3,48.7,54.4,55.8,55.8,55.8,55.8,55.8
728,"SSD","South Sudan",52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1
724,"ESP","Spain",35,35.8,37,37.1,38.4,52.9,57.4,57.7,59.9,63.3,72.3,76.7,77.3,77.9,78.9,79.5,79.7,79.8,80,80.7,91.9,92.1,93,93.1,93.1,93.5,93.5,93.5,93.5,93.5
144,"LKA","Sri Lanka",60.8,60.8,60.9,60.9,60.9,62.4,62.5,64.3,64.4,64.4,64.4,64.4,65.2,65.9,71.2,73.8,73.9,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8
275,"PSE","State of Palestine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.6,32.6
729,"SDN","Sudan",15,15,15,15,15,15,15,15,15,15,16,18,18,18,18.7,18.7,18.7,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6
740,"SUR","Suriname",7.7,7.7,7.7,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1
752,"SWE","Sweden",26.7,27.2,28.8,30.9,31,33.3,34.1,35.9,36.1,37,37.2,37.4,37.6,38.4,38.7,39.4,39.5,39.7,39.9,40.3,40.4,40.7,41.1,41.8,42.1,42.3,42.8,42.8,42.8,42.8
756,"CHE","Switzerland",20.1,20.7,20.7,20.8,20.8,20.8,22.5,22.5,22.7,22.7,22.7,22.7,22.8,22.8,23,24.7,24.7,24.7,24.7,24.8,24.8,24.8,25.5,32.4,32.7,32.7,32.8,32.8,32.8,32.8
760,"SYR","Syria",0.8,0.8,0.8,1,1.2,1.2,1.2,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3
158,"TWN","Taiwan",34.7,34.7,34.7,34.8,34.8,64,64.1,64.2,64.2,64.2,64.2,64.8,64.8,64.9,65.2,65.2,65.2,65.3,65.4,65.4,65.4,65.4,65.4,65.4,65.4,65.4,65.4,65.4,65.4,65.4
762,"TJK","Tajikistan",9.8,9.8,9.8,9.8,51,51,52.9,52.9,52.9,52.9,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
834,"TZA","Tanzania",95.1,95.1,95.1,95.1,95.1,95.3,95.3,95.3,95.3,95.4,95.4,95.7,96,96,96,96.4,96.4,96.4,96.4,96.4,96.4,96.4,96.4,96.4,98,98,98.1,98.1,98.1,98.1
764,"THA","Thailand",45.5,47.1,47.8,49.1,52.5,54.9,55.5,55.5,55.8,55.8,55.8,55.8,56.9,57.2,60.5,60.5,60.5,60.5,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6
626,"TLS","Timor-Leste",13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,26.7,42.8,42.8,42.8,42.8,42.8,42.8,42.8,44.8,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5
768,"TGO","Togo",39.8,39.8,39.8,39.8,39.8,39.8,39.8,39.8,39.8,39.8,42.8,42.8,42.8,82.6,82.6,82.6,82.6,82.6,82.6,82.6,82.6,82.6,82.6,83,83.1,83.1,83.1,83.1,83.1,83.1
776,"TON","Tonga",4.5,4.5,4.5,4.5,4.5,4.5,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1
780,"TTO","Trinidad and Tobago",95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3
788,"TUN","Tunisia",12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.9,12.9,13.1,20.5,20.6,21,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1
792,"TUR","Turkiye",0.4,0.4,0.4,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
795,"TKM","Turkmenistan",10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7
796,"TCA","Turks and Caicos Islands",84.2,84.2,84.2,84.2,84.2,84.2,84.2,84.2,84.2,84.2,84.2,84.2,84.2,84.2,84.2,84.2,84.2,84.2,84.2,84.2,84.2,84.2,84.2,84.2,84.2,84.2,84.2,84.2,84.2,84.2
798,"TUV","Tuvalu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,"UGA","Uganda",47.9,47.9,47.9,48.1,48.1,48.1,48.1,54.7,54.7,54.9,54.9,58.7,58.7,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
804,"UKR","Ukraine",43.5,43.6,43.7,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8
