"code","iso","country","PRS.ind.1995","PRS.ind.1996","PRS.ind.1997","PRS.ind.1998","PRS.ind.1999","PRS.ind.2000","PRS.ind.2001","PRS.ind.2002","PRS.ind.2003","PRS.ind.2004","PRS.ind.2005","PRS.ind.2006","PRS.ind.2007","PRS.ind.2008","PRS.ind.2009","PRS.ind.2010","PRS.ind.2011","PRS.ind.2012","PRS.ind.2013","PRS.ind.2014","PRS.ind.2015","PRS.ind.2016","PRS.ind.2017","PRS.ind.2018","PRS.ind.2019","PRS.ind.2020","PRS.ind.2021","PRS.ind.2022","PRS.ind.2023","PRS.ind.2024"
764,"THA","Thailand",58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,54.6,51.1,47.5,47.5,47.5,47.5,47.5,47.5,47.5
626,"TLS","Timor-Leste",95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95.7,96.4,97.1,97.1,97.1,97.1,97.1,97.1,97.1
768,"TGO","Togo",82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,80,78.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1
776,"TON","Tonga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780,"TTO","Trinidad and Tobago",22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,24.8,27,29.1,29.1,29.1,29.1,29.1,29.1,29.1
788,"TUN","Tunisia",55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,56.6,58.1,59.7,59.7,59.7,59.7,59.7,59.7,59.7
792,"TUR","Turkiye",57.9,57.9,57.9,57.9,57.9,57.9,57.9,57.9,57.9,57.9,57.9,57.9,57.9,57.9,57.9,57.9,57.9,57.9,57.9,57.9,57.9,52.9,47.9,42.9,42.9,42.9,42.9,42.9,42.9,42.9
795,"TKM","Turkmenistan",86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,81.8,77,72.3,72.3,72.3,72.3,72.3,72.3,72.3
796,"TCA","Turks and Caicos Islands",77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8
798,"TUV","Tuvalu",77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8
800,"UGA","Uganda",97.7,97.7,97.7,97.7,97.7,97.7,97.7,97.7,97.7,97.7,97.7,97.7,97.7,97.7,97.7,97.7,97.7,97.7,97.7,97.7,97.7,96,94.4,92.7,92.7,92.7,92.7,92.7,92.7,92.7
804,"UKR","Ukraine",63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63.6,64.1,64.7,64.7,64.7,64.7,64.7,64.7,64.7
784,"ARE","United Arab Emirates",31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,33.3,35,36.7,36.7,36.7,36.7,36.7,36.7,36.7
826,"GBR","United Kingdom",83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,81.4,79.2,77,77,77,77,77,77,77
840,"USA","United States of America",56.9,56.9,56.9,56.9,56.9,56.9,56.9,56.9,56.9,56.9,56.9,56.9,56.9,56.9,56.9,56.9,56.9,56.9,56.9,56.9,56.9,57.2,57.5,57.8,57.8,57.8,57.8,57.8,57.8,57.8
858,"URY","Uruguay",73.4,73.4,73.4,73.4,73.4,73.4,73.4,73.4,73.4,73.4,73.4,73.4,73.4,73.4,73.4,73.4,73.4,73.4,73.4,73.4,73.4,73.6,73.7,73.8,73.8,73.8,73.8,73.8,73.8,73.8
860,"UZB","Uzbekistan",70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,62.3,54,45.7,45.7,45.7,45.7,45.7,45.7,45.7
548,"VUT","Vanuatu",30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,34.3,38.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3
862,"VEN","Venezuela",41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,43.3,45.4,47.5,47.5,47.5,47.5,47.5,47.5,47.5
704,"VNM","Viet Nam",58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.5,59,59.4,59.4,59.4,59.4,59.4,59.4,59.4
876,"WLF","Wallis and Futuna Islands",77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8
732,"ESH","Western Sahara",87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,83.2,78.9,74.5,74.5,74.5,74.5,74.5,74.5,74.5
887,"YEM","Yemen",84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,81.7,79,76.4,76.4,76.4,76.4,76.4,76.4,76.4
894,"ZMB","Zambia",74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,78.3,82.1,85.9,85.9,85.9,85.9,85.9,85.9,85.9
716,"ZWE","Zimbabwe",83.5,83.5,83.5,83.5,83.5,83.5,83.5,83.5,83.5,83.5,83.5,83.5,83.5,83.5,83.5,83.5,83.5,83.5,83.5,83.5,83.5,82.6,81.7,80.8,80.8,80.8,80.8,80.8,80.8,80.8
