"code","iso","country","LEX.ind.1995","LEX.ind.1996","LEX.ind.1997","LEX.ind.1998","LEX.ind.1999","LEX.ind.2000","LEX.ind.2001","LEX.ind.2002","LEX.ind.2003","LEX.ind.2004","LEX.ind.2005","LEX.ind.2006","LEX.ind.2007","LEX.ind.2008","LEX.ind.2009","LEX.ind.2010","LEX.ind.2011","LEX.ind.2012","LEX.ind.2013","LEX.ind.2014","LEX.ind.2015","LEX.ind.2016","LEX.ind.2017","LEX.ind.2018","LEX.ind.2019","LEX.ind.2020","LEX.ind.2021","LEX.ind.2022","LEX.ind.2023","LEX.ind.2024"
144,"LKA","Sri Lanka",44.6,45.4,46.3,47,47.6,47.7,47.8,48,50.4,52.8,55.5,58.4,61.4,62.2,63.1,64.2,65.4,66.8,68.3,69.9,71.5,72.9,74.4,75.6,76.8,77.7,78.4,78.4,78.4,78.4
275,"PSE","State of Palestine",23.5,24.3,25.2,26.2,27.2,28.1,28.9,29.6,30.5,32.9,35.4,37.8,40.4,43.1,44.6,45.8,47.2,48.7,50,51.2,52.6,54,55.4,56.6,57.7,58.7,59.6,59.6,59.6,59.6
729,"SDN","Sudan",5.5,6.5,7.6,8.6,9.7,10.7,11.8,12.8,13.9,16.4,18.8,21.5,24.4,27.2,28.7,30.2,32,33.5,34.8,36.2,37.9,39.5,41.1,42.5,43.8,45,46.1,46.1,46.1,46.1
740,"SUR","Suriname",22.3,22.7,23.1,23.4,24,28.1,32.4,36.7,41.2,45.8,46.6,47.6,48.6,49.8,51.1,52.4,53.5,54.4,55.3,56.1,56.7,57.1,57.5,57.9,58.3,58.4,58.5,58.5,58.5,58.5
752,"SWE","Sweden",57.2,57.7,58.1,58.4,58.6,65.1,71.6,78.1,84.5,91,91.3,91.7,92.2,92.5,92.6,92.9,93.4,93.7,94,94.3,94.7,95.1,95.5,96.1,96.6,96.7,96.7,96.7,96.7,96.7
756,"CHE","Switzerland",37,37.2,37.3,37.3,37.4,44.5,51.7,58.9,66,73.1,73.3,73.6,74,74.4,74.6,74.8,75.3,75.7,76,76.3,76.6,76.9,77.2,77.6,78.1,78.1,78,78,78,78
760,"SYR","Syria",22,23.6,25,26.4,27.7,28.9,30.1,31.4,32.6,35.5,38.6,41.7,44.9,48.1,49.7,51.1,52.3,52.7,52.6,52.4,52.5,52.7,53.1,53.6,54.2,54.7,55.2,55.2,55.2,55.2
158,"TWN","Taiwan",33.5,33.5,33.6,33.8,33.9,41.9,50.3,58.9,67.9,77.6,78.5,79.3,80,80.3,80.4,80.8,81,80.7,80.4,80.5,80.9,81.5,82.3,83.4,84.6,85.4,86.2,86.2,86.2,86.2
762,"TJK","Tajikistan",34.1,33.1,32.1,31,29.8,28.8,28.2,28.1,28.2,28.5,28.9,30.7,32.6,34.7,36.6,38.6,39.2,39.8,40.3,40.7,41.1,41.4,41.7,42,42.5,43,43.3,43.3,43.3,43.3
834,"TZA","Tanzania",33.9,34.3,34.7,35.2,35.7,36.2,36.7,37.3,37.9,39.7,41.5,43.4,45.3,47.3,48.1,48.9,49.9,50.9,51.9,53,54,55.1,56.3,57.4,58.6,59.6,60.4,60.4,60.4,60.4
764,"THA","Thailand",50.3,51.1,51.8,52.5,53.1,53.4,53.5,53.6,57.8,62.1,66.7,71.6,76.6,77.1,77.4,78.4,79.6,81,82.4,83.5,84.3,84.9,85.6,86.3,87.1,87.5,87.9,87.9,87.9,87.9
626,"TLS","Timor-Leste",18.8,19.9,21.1,22.1,22.7,23,23.5,23.8,24.2,26.7,29.8,33.5,37.2,41.1,42.6,44.1,45.7,47.2,48.3,48.8,49.4,50,50.4,50.7,51,51.3,51.5,51.5,51.5,51.5
768,"TGO","Togo",22,22.5,23,23.4,23.7,23.8,23.9,24.1,24.3,25.6,27,28.3,29.6,31.1,31.4,31.8,32.3,33,33.8,34.5,35.4,36.3,37.3,38.2,39.2,40,40.7,40.7,40.7,40.7
776,"TON","Tonga",64.7,65.3,65.7,66.2,66.7,67.2,67.6,68,68.5,70.2,71.9,73.6,75.2,76.9,77.1,77.4,77.6,77.9,78.2,78.7,79.4,80.1,80.8,81.5,82.2,82.9,83.5,83.5,83.5,83.5
780,"TTO","Trinidad and Tobago",48.3,48.9,49.4,49.9,50.3,53.5,56.8,60.6,65,70.1,71.8,73.6,75.4,77.2,78.1,79.2,80.3,81.3,82.4,83.5,84.6,85.3,85.8,86.3,86.8,87,87,87,87,87
788,"TUN","Tunisia",31.4,32.9,34.2,35.5,36.7,37.8,38.8,39.8,40.7,41.6,42.4,45.1,48.1,51.1,54.1,57.2,58.1,58.8,59.5,60.1,60.9,61.6,62.3,62.9,63.5,64,64.5,64.5,64.5,64.5
792,"TUR","Turkiye",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
