"code","iso","country","TKP.ind.1995","TKP.ind.1996","TKP.ind.1997","TKP.ind.1998","TKP.ind.1999","TKP.ind.2000","TKP.ind.2001","TKP.ind.2002","TKP.ind.2003","TKP.ind.2004","TKP.ind.2005","TKP.ind.2006","TKP.ind.2007","TKP.ind.2008","TKP.ind.2009","TKP.ind.2010","TKP.ind.2011","TKP.ind.2012","TKP.ind.2013","TKP.ind.2014","TKP.ind.2015","TKP.ind.2016","TKP.ind.2017","TKP.ind.2018","TKP.ind.2019","TKP.ind.2020","TKP.ind.2021","TKP.ind.2022","TKP.ind.2023","TKP.ind.2024"
682,"SAU","Saudi Arabia",15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6
686,"SEN","Senegal",62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,63.2,63.2,63.2,63.7,63.7,63.7,63.8,63.8,63.8,63.8,63.8
688,"SRB","Serbia",41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,42.2,42.9,45.1,45.1,45.1,47,47.3,47.3,48.5,48.5,48.5,48.5
690,"SYC","Seychelles",43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,89.2,89.2,89.2,89.2,89.2
694,"SLE","Sierra Leone",61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.3
702,"SGP","Singapore",14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9
534,"SXM","Sint Maarten",8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7
703,"SVK","Slovakia",82.9,82.9,82.9,82.9,82.9,82.9,82.9,82.9,82.9,82.9,82.9,82.9,82.9,82.9,82.9,82.9,91.4,91.4,91.4,91.4,91.4,91.4,91.4,91.4,91.4,91.4,91.4,91.4,91.4,91.4
705,"SVN","Slovenia",86.9,86.9,86.9,86.9,86.9,86.9,86.9,86.9,86.9,86.9,86.9,86.9,86.9,86.9,86.9,86.9,86.9,86.9,87.2,87.3,87.3,87.3,87.3,87.3,87.3,87.3,87.3,87.3,87.3,87.3
90,"SLB","Solomon Islands",4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,5,5,5,5
706,"SOM","Somalia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
710,"ZAF","South Africa",34.2,34.2,34.2,34.2,34.2,34.2,34.2,34.2,34.2,34.2,34.2,34.2,34.2,34.2,34.2,34.2,34.3,34.5,34.6,35.2,35.4,36.5,36.7,37.1,37.5,37.6,37.7,37.7,37.8,37.8
410,"KOR","South Korea",28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,29.1,29.1,29.1,29.1,29.1,29.1
728,"SSD","South Sudan",64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8
724,"ESP","Spain",48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.7,48.8,48.8,61.3,64.1,64.1,64.2,64.2,64.3,64.3,64.3,64.3,64.3,64.3
144,"LKA","Sri Lanka",41.6,41.6,41.6,41.6,41.6,41.6,41.6,41.6,41.6,41.6,41.6,41.6,41.6,41.6,41.6,41.6,41.8,42.5,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3
275,"PSE","State of Palestine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.4,31.4
729,"SDN","Sudan",16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9
740,"SUR","Suriname",32.6,32.6,32.6,32.6,32.6,32.6,32.6,32.6,32.6,32.6,32.6,32.6,32.6,32.6,32.6,32.6,32.6,32.6,32.6,32.6,32.6,32.6,32.6,32.6,32.6,32.6,32.6,32.6,32.6,32.6
752,"SWE","Sweden",64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.8,64.9,64.9,64.9,64.9,67.2,68.6,68.7,68.8,69.1,69.3,69.3,69.3,69.3
756,"CHE","Switzerland",18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.5,21.5,21.7,21.7,21.7,21.7,21.7,21.7
760,"SYR","Syria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
